Project,Symbol,Launch date,Category tags,Price ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),ATH ($),ATL ($),Volume 24h ($),Circulating market cap latest ($),Fully-diluted market cap latest ($),Volume / MC ratio (%),TVL latest ($),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. TVL ($),30d avg. TVL ($),90d avg. TVL ($),180d avg. TVL ($),Annualized GMV ($),7d total revenue ($),30d total revenue ($),90d total revenue ($),180d total revenue ($),7d change (%),30d change (%),90d change (%),180d change (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d protocol revenue ($),7d change (%),7d trend (%),24h protocol revenue ($),24h change (%),24h trend (%),30d protocol revenue ($),30d change (%),30d trend (%),90d protocol revenue ($),90d change (%),90d trend (%),180d protocol revenue ($),180d change (%),180d trend (%),P/S ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/S ratio (x),30d avg. P/S ratio (x),90d avg. P/S ratio (x),180d avg. P/S ratio (x),P/E ratio latest (x),24h change (%),7d change (%),30d change (%),90d change (%),180d change (%),24h trend (%),7d trend (%),30d trend (%),90d trend (%),180d trend (%),7d avg. P/E ratio (x),30d avg. P/E ratio (x),90d avg. P/E ratio (x),180d avg. P/E ratio (x),Twitter followers latest
0x,ZRX,15/08/2017,DeFi Exchange,0.62,2.58,-5.49,-16.26,-49.58,-36.8,2.58,14.32,-21.76,-22.04,-23.87,2.5,0.12,22091686.27,526612880.2,621762000,5.64,,,,,,,,,,,,,,,,1.19E+11,0,0,0,226310.11,,,,-100,,,-100,-92,0,,,0,,,0,,,0,,-100,226310.11,-100,-92,,,,,,,,,,267.75,,,,117544.57,,,,,,,,,,,267.75,,,,1175.45,254509
1inch,1INCH,23/12/2020,DeFi Exchange,1.69,0.9,-5.95,-28.18,-60.47,-44.5,0.9,9.22,-24.15,-25.25,-20.73,8.65,0.77,36873126.52,700972420,2535000000,2.2,69810236.88,,-1.95,-23.16,51.09,-2.84,,,,6.54,,,,,,89875994.93,14287.52,139732.51,650585.71,2221545.17,61.68,-87.01,-93.96,-95.66,-63.38,-24.48,-57.58,-88.32,14287.52,61.68,-63.38,1151.95,-68.59,-68.59,139732.51,-87.01,-24.48,650585.71,-93.96,-57.58,2221545.17,-95.66,-88.32,134562.77,-1.21,7.98,-7.43,137.97,-1.21,25.44,10.01,0.14,122.59,139975.53,125668.63,111578.23,110768.22,1345.63,-1.21,7.98,-7.43,137.97,1.91,-1.21,25.44,10.01,0.14,122.59,1399.76,1256.69,1115.78,1107.68,1011482
88mph,MPH,10/10/2019,Asset Management DeFi Lending,41.51,-8.31,29.77,41.65,-31.46,-22.19,-8.31,100.67,-15.98,-45.12,-48.19,236.5,12.57,572262.07,18345340.31,19209707.23,3.22,75408144.52,-4.35,24.27,25.55,6.49,204.13,,36.75,-6.29,78.73,49.35,70662428.08,55347338.21,59080415.87,46288792.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14672
Aave,AAVE,25/11/2017,DeFi Lending,162.92,-0.08,-2.33,-22.2,-46.31,-57.36,-0.08,12.65,-21.1,-36.12,-24.06,661.69,26.02,84530576.53,2201311566,2606720000,5.16,13411981974,-3.16,4.18,1.98,-18.46,5.28,,12.96,-11.65,-7.33,56.88,13453560579,12427728528,13870360660,14458271575,6981142962,3836556.61,21413491.83,83769564.94,240144061.3,-15.63,-32.15,-51.59,-47.18,0.38,-20.16,-45.54,64.9,411795.56,-5.84,0.32,69368.01,-7.14,-7.14,2233506.69,-31.34,-20.84,8643660.09,-49.72,-43.71,24256016.31,-44.88,67.93,951.76,-0.35,3.93,-3.14,32.73,-0.35,20.64,-7.14,-12.26,-67.41,1014.84,895.06,848.22,900.3,91.3,-0.35,3.52,-2.14,24.72,-51.1,-0.35,21.3,-8.18,-13.74,-78.37,97.53,85.84,82.62,88.54,427264
Abracadabra.money,SPELL,28/05/2021,DeFi Lending,0.01,4.4,-7.37,-57.01,-72.23,852.35,4.4,1.98,-53.47,34.58,,0.04,0,33434443.19,514662167.4,1311840600,5.79,3165604698,-3.22,-2.39,-48.14,-33.2,2179.26,,5.12,-26.16,170.33,,3256834945,4211323742,4951145016,3407871008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemix Finance,ALCX,22/01/2021,Asset Management DeFi Lending Stablecoin,162.96,4,-8.14,-46.18,-61.4,-54.5,4,4.27,-22,-26.79,,2066.2,135.79,4268959.92,180059177.9,389973057.6,1.74,1035332171,-1.45,-0.4,-13.94,-35.26,72.2,,5.19,-24.24,29.16,,1048969838,1051674578,1320130225,1177048509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60534
Alpha Finance,ALPHA,10/05/2020,DeFi Lending,0.4,2.24,-6.08,-29.2,-65.58,-55.96,2.24,11.5,-33.49,-37.38,-27.41,2.93,0.03,6092899.29,178543771.2,400103000,5.27,827803075.7,,22.91,-21.52,-13.14,-25.94,,,-17.63,-5.22,-5.83,,,,,151759741.7,112125.94,587970.95,3343359.14,9574363.25,885.76,-5,380.14,-75.74,-45.64,-11.86,-47.15,-37.11,22425.19,885.76,-45.64,5395.92,293.4,293.4,117594.19,-5,-11.86,668671.83,380.14,-47.15,1914872.65,-75.74,-37.11,5117.31,-1.03,0.86,-22.38,20.95,-1.03,15,13.22,2.61,,5643.13,5291.1,4423.23,4368.89,255.87,-1.03,0.86,-22.38,20.95,40.72,-1.03,15,13.22,2.61,,282.16,264.56,221.16,218.44,95437
Arweave,AR,24/08/2017,Blockchain,33.45,3.82,-13.49,-32.35,-49.35,57.35,3.82,1.05,-29.57,-6.51,192.69,89.24,0.3,16181932.51,1677515451,2207700000,1.84,,,,,,,,,,,,,,,,,35593.85,102783.25,267235.87,872849.17,16.88,205.36,-61.05,1203.33,4.16,61.99,-52.84,976.14,0,,,0,,,0,,,0,,,0,,,176977.12,3.09,-34.98,-57.82,1.41,3.09,-39.19,-19.52,-58.38,-47.13,221266.37,330624.47,301872.28,502607.47,,,,,,,,,,,,,,,,57682
Autofarm,AUTO,23/04/2020,Asset Management DeFi,451.8,2,2.44,-18.36,-59.73,-57.93,2,10.75,-25.05,-42.56,-63.69,13988.94,22.81,1617233.53,15818477.62,36144000,7.51,231094474.7,-2.72,1.39,-20.69,-50.98,-75.73,,6.45,-31.62,-59.65,,233619255.8,239057967.8,349190445.3,607766474.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88025
Avalanche,AVAX,12/09/2020,Blockchain,82.95,2.68,7.04,-7.53,-12.1,251.11,2.68,18.44,-26.61,60.24,241.27,144.96,2.8,675424442.2,20329947116,59724000000,1.71,,,,,,,,,,,,,,,,,4013439.93,13378226.16,42366567.46,55044573.46,0.3,22.91,67.26,1622.83,53.81,16.08,242.5,1412.9,4013439.93,0.3,53.81,431640.87,-38.36,-38.36,13378226.16,22.91,16.08,42366567.46,67.26,242.5,55044573.46,1622.83,1412.9,36142.76,1.55,-8.78,-19.75,-72.8,1.55,8.55,-14.02,-61.27,-65.87,39939.31,38594.64,47794.68,85887.55,361.43,1.55,-8.78,-19.75,-72.8,-89.32,1.55,8.55,-14.02,-61.27,-65.87,399.39,385.95,477.95,858.88,
